SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,dTOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,RANGE,runningTotal
ASHIMASYN,EQ,7.7,8.15,7.6,7.9,7.95,7.65,13096,103449.6,0020-01-29,105,INE440A01010,0.5500000000000007,0.5500000000000007,
ASHOKA,EQ,114.6,116.9,114.2,114.95,115.0,113.65,463005,5.333893645E7,0020-01-29,3888,INE442H01029,2.700000000000003,2.700000000000003,
ASHOKLEY,EQ,85.15,85.6,84.3,84.6,84.6,84.65,7987239,6.786962169E8,0020-01-29,31852,INE208A01029,1.2999999999999972,1.2999999999999972,
ASIANHOTNR,EQ,88.9,88.95,83.0,86.45,88.95,87.45,5552,476563.4,0020-01-29,165,INE363A01022,5.950000000000003,5.950000000000003,
ASIANPAINT,EQ,1787.0,1803.85,1781.0,1796.95,1798.0,1779.1,873805,1.568267258E9,0020-01-29,55308,INE021A01026,22.84999999999991,22.84999999999991,
ASIANTILES,EQ,211.6,217.35,209.35,211.4,210.05,213.7,20355,4354567.25,0020-01-29,2402,INE022I01019,8.0,8.0,
ASPINWALL,EQ,150.05,159.5,148.5,155.2,156.1,155.3,1295,199655.05,0020-01-29,37,INE991I01015,11.0,11.0,
ASTEC,EQ,489.5,495.0,479.7,492.7,491.0,481.45,5909,2895646.9,0020-01-29,410,INE563J01010,15.300000000000011,15.300000000000011,
ASTERDM,EQ,165.6,170.0,163.1,165.0,165.2,163.8,484216,8.019800445E7,0020-01-29,3285,INE914M01019,6.900000000000006,6.900000000000006,
ASTRAL,EQ,1222.0,1245.0,1176.05,1187.85,1195.0,1229.35,140264,1.681395413E8,0020-01-29,16549,INE006I01046,68.95000000000005,68.95000000000005,
ASTRAMICRO,EQ,93.95,102.0,93.0,99.65,99.75,92.45,2628737,2.597253629E8,0020-01-29,20518,INE386C01029,9.0,9.0,
ASTRAZEN,EQ,2654.0,2725.0,2641.3,2702.3,2724.0,2634.3,26048,6.9914451E7,0020-01-29,3216,INE203A01020,83.69999999999982,83.69999999999982,
ASTRON,EQ,38.85,39.6,38.5,38.95,39.4,38.45,328779,1.28344898E7,0020-01-29,636,INE646X01014,1.1000000000000014,1.1000000000000014,
ATFL,EQ,721.0,722.95,699.45,712.8,719.0,706.4,12820,9188908.4,0020-01-29,1020,INE209A01019,23.5,23.5,
ATLANTA,EQ,6.0,6.3,6.0,6.15,6.2,6.15,4923,30532.15,0020-01-29,54,INE285H01022,0.2999999999999998,0.2999999999999998,
ATLASCYCLE,BE,51.05,51.05,49.05,50.3,51.0,51.25,1551,78310.35,0020-01-29,35,INE446A01025,2.0,2.0,
ATUL,EQ,4930.0,5018.0,4881.7,4915.7,4939.95,4901.35,37404,1.85468353E8,0020-01-29,5007,INE100A01010,136.30000000000018,136.30000000000018,
ATULAUTO,EQ,263.95,270.0,256.5,258.0,256.75,262.45,36187,9494634.1,0020-01-29,1971,INE951D01028,13.5,13.5,
AUBANK,EQ,1060.0,1069.0,1033.0,1046.65,1041.0,1043.8,284068,2.979060895E8,0020-01-29,16915,INE949L01017,36.0,36.0,
AURIONPRO,EQ,59.4,59.4,57.15,58.3,58.7,58.75,11323,659709.7,0020-01-29,216,INE132H01018,2.25,2.25,
AUROPHARMA,EQ,505.4,511.15,503.25,507.35,505.5,504.1,1730597,8.766440965E8,0020-01-29,36695,INE406A01037,7.899999999999977,7.899999999999977,
AUSOMENT,BE,35.55,39.05,35.55,38.65,38.65,37.2,1428,52721.65,0020-01-29,13,INE218C01016,3.5,3.5,
AUTOAXLES,EQ,874.95,887.0,867.2,874.85,870.0,868.0,10541,9260155.3,0020-01-29,2356,INE449A01011,19.799999999999955,19.799999999999955,
